text,label
i ate 1 5 star,5 Star
had 5 star for breakfast,5 Star
two serving of 5 star,5 Star
i want to log 5 star,5 Star
ate 5 star,5 Star
5 star for lunch,5 Star
consumed 2 5 star,5 Star
today i ate 5 star,5 Star
i had 5 star,5 Star
one plate 5 star,5 Star
i ate 5 star,5 Star
had 5 star for dinner,5 Star
1 serving of 5 star,5 Star
5 star for snack,5 Star
consumed one 5 star,5 Star
2 plate 5 star,5 Star
i just ate 5 star,5 Star
log 5 star,5 Star
add 5 star to my meals,5 Star
maine 5 star khaya,5 Star
2 5 star khayi,5 Star
aaj 5 star khaya,5 Star
ek plate 5 star,5 Star
mujhe 5 star add karna hai,5 Star
maine 1 5 star liya,5 Star
5 star khaya maine,5 Star
subah 5 star khaya,5 Star
raat ko 5 star khaya,5 Star
maine thoda 5 star khaya tha,5 Star
1 5 star khaya aaj,5 Star
i ate 5s tar,5 Star
maine 5s tar khaya,5 Star
i ate 1 5 star bar,5 Star Bar
had 5 star bar for breakfast,5 Star Bar
two serving of 5 star bar,5 Star Bar
i want to log 5 star bar,5 Star Bar
ate 5 star bar,5 Star Bar
5 star bar for lunch,5 Star Bar
consumed 2 5 star bar,5 Star Bar
today i ate 5 star bar,5 Star Bar
i had 5 star bar,5 Star Bar
one plate 5 star bar,5 Star Bar
i ate 5 star bar,5 Star Bar
had 5 star bar for dinner,5 Star Bar
1 serving of 5 star bar,5 Star Bar
5 star bar for snack,5 Star Bar
consumed one 5 star bar,5 Star Bar
2 plate 5 star bar,5 Star Bar
i just ate 5 star bar,5 Star Bar
log 5 star bar,5 Star Bar
add 5 star bar to my meals,5 Star Bar
maine 5 star bar khaya,5 Star Bar
2 5 star bar khayi,5 Star Bar
aaj 5 star bar khaya,5 Star Bar
ek plate 5 star bar,5 Star Bar
mujhe 5 star bar add karna hai,5 Star Bar
maine 1 5 star bar liya,5 Star Bar
5 star bar khaya maine,5 Star Bar
subah 5 star bar khaya,5 Star Bar
raat ko 5 star bar khaya,5 Star Bar
maine thoda 5 star bar khaya tha,5 Star Bar
1 5 star bar khaya aaj,5 Star Bar
i ate 5 star abr,5 Star Bar
maine 5 star abr khaya,5 Star Bar
i ate 1 50-50 biscuits,50-50 Biscuits
had 50-50 biscuits for breakfast,50-50 Biscuits
two serving of 50-50 biscuits,50-50 Biscuits
i want to log 50-50 biscuits,50-50 Biscuits
ate 50-50 biscuits,50-50 Biscuits
50-50 biscuits for lunch,50-50 Biscuits
consumed 2 50-50 biscuits,50-50 Biscuits
today i ate 50-50 biscuits,50-50 Biscuits
i had 50-50 biscuits,50-50 Biscuits
one plate 50-50 biscuits,50-50 Biscuits
i ate 50-50 biscuits,50-50 Biscuits
had 50-50 biscuits for dinner,50-50 Biscuits
1 serving of 50-50 biscuits,50-50 Biscuits
50-50 biscuits for snack,50-50 Biscuits
consumed one 50-50 biscuits,50-50 Biscuits
2 plate 50-50 biscuits,50-50 Biscuits
i just ate 50-50 biscuits,50-50 Biscuits
log 50-50 biscuits,50-50 Biscuits
add 50-50 biscuits to my meals,50-50 Biscuits
maine 50-50 biscuits khaya,50-50 Biscuits
2 50-50 biscuits khayi,50-50 Biscuits
aaj 50-50 biscuits khaya,50-50 Biscuits
ek plate 50-50 biscuits,50-50 Biscuits
mujhe 50-50 biscuits add karna hai,50-50 Biscuits
maine 1 50-50 biscuits liya,50-50 Biscuits
50-50 biscuits khaya maine,50-50 Biscuits
subah 50-50 biscuits khaya,50-50 Biscuits
raat ko 50-50 biscuits khaya,50-50 Biscuits
maine thoda 50-50 biscuits khaya tha,50-50 Biscuits
1 50-50 biscuits khaya aaj,50-50 Biscuits
i ate 50-50 bisucits,50-50 Biscuits
maine 50-50 bisucits khaya,50-50 Biscuits
i ate 1 7up (200ml),7Up (200Ml)
had 7up (200ml) for breakfast,7Up (200Ml)
two serving of 7up (200ml),7Up (200Ml)
i want to log 7up (200ml),7Up (200Ml)
ate 7up (200ml),7Up (200Ml)
7up (200ml) for lunch,7Up (200Ml)
consumed 2 7up (200ml),7Up (200Ml)
today i ate 7up (200ml),7Up (200Ml)
i had 7up (200ml),7Up (200Ml)
one plate 7up (200ml),7Up (200Ml)
i ate 7up (200ml),7Up (200Ml)
had 7up (200ml) for dinner,7Up (200Ml)
1 serving of 7up (200ml),7Up (200Ml)
7up (200ml) for snack,7Up (200Ml)
consumed one 7up (200ml),7Up (200Ml)
2 plate 7up (200ml),7Up (200Ml)
i just ate 7up (200ml),7Up (200Ml)
log 7up (200ml),7Up (200Ml)
add 7up (200ml) to my meals,7Up (200Ml)
maine 7up (200ml) khaya,7Up (200Ml)
2 7up (200ml) khayi,7Up (200Ml)
aaj 7up (200ml) khaya,7Up (200Ml)
ek plate 7up (200ml),7Up (200Ml)
mujhe 7up (200ml) add karna hai,7Up (200Ml)
maine 1 7up (200ml) liya,7Up (200Ml)
7up (200ml) khaya maine,7Up (200Ml)
subah 7up (200ml) khaya,7Up (200Ml)
raat ko 7up (200ml) khaya,7Up (200Ml)
maine thoda 7up (200ml) khaya tha,7Up (200Ml)
1 7up (200ml) khaya aaj,7Up (200Ml)
i ate 7pu (200ml),7Up (200Ml)
maine 7pu (200ml) khaya,7Up (200Ml)
i ate 1 7up can,7Up Can
had 7up can for breakfast,7Up Can
two serving of 7up can,7Up Can
i want to log 7up can,7Up Can
ate 7up can,7Up Can
7up can for lunch,7Up Can
consumed 2 7up can,7Up Can
today i ate 7up can,7Up Can
i had 7up can,7Up Can
one plate 7up can,7Up Can
i ate 7up can,7Up Can
had 7up can for dinner,7Up Can
1 serving of 7up can,7Up Can
7up can for snack,7Up Can
consumed one 7up can,7Up Can
2 plate 7up can,7Up Can
i just ate 7up can,7Up Can
log 7up can,7Up Can
add 7up can to my meals,7Up Can
maine 7up can khaya,7Up Can
2 7up can khayi,7Up Can
aaj 7up can khaya,7Up Can
ek plate 7up can,7Up Can
mujhe 7up can add karna hai,7Up Can
maine 1 7up can liya,7Up Can
7up can khaya maine,7Up Can
subah 7up can khaya,7Up Can
raat ko 7up can khaya,7Up Can
maine thoda 7up can khaya tha,7Up Can
1 7up can khaya aaj,7Up Can
i ate 7up acn,7Up Can
maine 7up acn khaya,7Up Can
i ate 1 7up nimbooz (200ml),7Up Nimbooz (200Ml)
had 7up nimbooz (200ml) for breakfast,7Up Nimbooz (200Ml)
two serving of 7up nimbooz (200ml),7Up Nimbooz (200Ml)
i want to log 7up nimbooz (200ml),7Up Nimbooz (200Ml)
ate 7up nimbooz (200ml),7Up Nimbooz (200Ml)
7up nimbooz (200ml) for lunch,7Up Nimbooz (200Ml)
consumed 2 7up nimbooz (200ml),7Up Nimbooz (200Ml)
today i ate 7up nimbooz (200ml),7Up Nimbooz (200Ml)
i had 7up nimbooz (200ml),7Up Nimbooz (200Ml)
one plate 7up nimbooz (200ml),7Up Nimbooz (200Ml)
