cal_error,protein_error,fat_error,carb_error,score
0.126229,0.150402,0.125839,0.033043,0.495974
-0.003185,0.420458,0.098758,0.018284,0.261695
-0.183083,0.053878,-0.141299,-0.380037,0.268343
0.224977,0.252906,0.287242,0.108735,0.082623
0.202291,0.118495,0.048724,0.050444,0.636432
-0.005625,0.032771,-0.038672,0.115557,0.747297
-0.046381,-0.057762,-0.330273,-0.010555,0.54711
0.105357,0.430464,0.024138,0.316954,0.0
0.169726,0.250038,0.001643,0.229054,0.183264
-0.137211,-0.065497,-0.158877,-0.017229,0.575013
-0.14085,0.133521,-0.183791,-0.175031,0.272077
-0.129661,-0.5,0.206338,0.5,0.0
0.140688,0.158808,0.137343,0.088072,0.302604
0.127782,0.38227,0.167126,0.243766,0.010283
-0.305331,0.079807,-0.289739,-0.433157,0.058749
-0.024801,-0.016142,-0.034665,0.152114,0.879997
-0.209378,0.067847,-0.248897,-0.055739,0.336981
0.03058,0.031647,0.052081,-0.011749,0.962526
0.064896,-0.490458,0.017209,0.083472,0.135048
-0.034078,-0.213659,0.301536,0.493951,0.017458
-0.030928,-0.012031,0.112189,0.025074,0.786824
-0.063433,0.078937,-0.082823,-0.414639,0.383852
0.195612,0.09459,0.11369,0.135989,0.431715
0.022651,-0.00873,0.039374,-0.034975,0.838164
0.16309,0.169086,0.024343,-0.018504,0.439098
-0.042224,0.045507,0.037513,0.002552,0.847006
-0.203613,0.041919,-0.042507,-0.119079,0.548631
0.099137,-0.5,0.455933,0.222128,0.0
-0.090402,-0.370202,0.052224,0.024746,0.315545
0.017532,-0.233528,0.126066,0.304488,0.254573
-0.199065,0.062017,-0.164354,-0.028871,0.527682
-0.357341,0.115771,-0.053686,-0.253867,0.126371
-0.124625,0.203219,-0.036046,0.10607,0.408501
0.291334,0.372985,-0.079556,0.05495,0.02769
0.020804,0.134744,0.026595,-0.010267,0.729017
-0.131201,-0.072754,-0.030135,-0.242135,0.631856
0.074946,0.19461,0.168972,0.255488,0.145088
-0.145844,-0.002011,-0.16668,-0.304877,0.35122
-0.009921,0.129046,-0.040555,-0.225364,0.51156
-0.186363,0.048339,0.5,-0.014245,0.201631
-0.068352,0.5,0.04388,0.195179,0.059399
-0.067103,0.069399,-0.312721,-0.009284,0.507756
0.046081,-0.015261,0.5,0.332326,0.0
-0.379747,-0.024394,-0.179282,-0.192473,0.158935
-0.00576,-0.014728,0.064651,0.060406,0.870643
-0.114941,0.029149,0.014193,-0.169212,0.709067
0.112979,0.249776,0.002354,0.339954,0.182767
0.026389,0.103426,-0.261604,-0.344987,0.170118
-0.29762,0.339349,-0.046799,-0.168733,0.032772
-0.143064,0.168891,-0.185786,-0.412672,0.012487
-0.088877,-0.197937,-0.248598,-0.239506,0.169436
0.276969,0.036095,0.128064,0.291887,0.199415
0.333231,0.026868,0.235895,0.01861,0.441715
0.114664,-0.257419,0.004979,0.133262,0.28843
-0.302951,0.059416,-0.071781,-0.439603,0.099265
-0.156602,-0.311283,0.5,0.293386,0.0
-0.1872,-0.105152,-0.149754,-0.183978,0.282074
-0.069107,0.097239,0.038444,0.004991,0.71432
-0.228711,0.04525,-0.25002,-0.369241,0.068628
-0.133018,0.144359,-0.021254,-0.185748,0.443386
-0.118703,0.063222,-0.176858,-0.241354,0.412613
-0.166806,0.171262,0.279294,0.291646,0.007037
-0.106034,0.166552,0.000682,0.098298,0.508938
-0.213903,0.203177,-0.047431,-0.198804,0.229275
0.003623,0.178704,-0.131439,-0.425126,0.131863
0.254607,-0.158572,0.071516,-0.017011,0.429172
-0.168612,0.121979,-0.274882,-0.26198,0.039285
0.043639,0.022859,-0.038414,-0.005867,0.929133
0.014931,0.230951,-0.24596,0.125457,0.358528
-0.31222,-0.055101,-0.201337,-0.291002,0.13562
0.272996,0.146136,-0.043202,-0.17204,0.248774
-0.176109,-0.00113,-0.184923,0.163198,0.480921
-0.107429,-0.261944,-0.154186,-0.127201,0.233608
-0.246224,0.038917,-0.149113,-0.376284,0.200288
-0.152318,0.0224,-0.191285,-0.237866,0.27737
0.450012,-0.31444,0.359084,-0.116846,0.0
-0.190618,-0.119621,-0.283073,-0.341272,0.031293
0.234028,-0.307799,0.160898,0.290865,0.051509
-0.361316,-0.060837,0.439493,0.241113,0.0
-0.178532,0.0385,-0.174424,-0.156403,0.499312
0.082614,0.004133,-0.010934,0.042672,0.82512
-0.132247,0.040707,-0.285055,-0.29221,0.252791
0.065173,0.265425,-0.011404,0.187968,0.388232
-0.178966,0.051608,-0.138277,-0.214896,0.378994
0.191281,0.342664,-0.204873,0.022159,0.006966
-0.142767,-0.002776,-0.225761,-0.204643,0.49481
-0.128404,-0.002662,-0.103513,-0.153413,0.576387
-0.377368,-0.142616,-0.196356,-0.151088,0.111315
-0.037563,0.015102,-0.032442,0.005308,0.981532
0.287587,0.209386,0.031103,0.29247,0.018491
-0.045428,-0.5,-0.003684,0.083951,0.030983
-0.325544,-0.410326,0.090006,0.065316,0.0
0.038946,0.0727,0.076638,0.032142,0.715121
-0.165016,0.017269,0.048496,-0.17293,0.546236
-0.240824,0.266197,-0.310409,-0.300619,0.0
-0.175738,0.121632,-0.003736,-0.252315,0.385461
0.0131,-0.08555,-0.036578,-0.001261,0.811716
0.00041,-0.34521,-0.001183,0.286318,0.134148
0.05445,-0.093705,0.233691,0.063159,0.508924
0.443102,0.000101,-0.031977,0.401553,0.179986
-0.145921,0.194681,-0.009333,-0.26248,0.289147
0.091332,-0.075852,-0.098582,0.226624,0.546593
0.077927,0.156458,-0.035606,0.150311,0.421268
0.371074,-0.158941,0.149774,0.071273,0.191857
-0.226101,-0.416822,0.033733,0.409572,0.0
-0.055279,0.115635,-0.246291,-0.241528,0.323226
-0.038749,-0.074439,-0.141892,-0.21319,0.51981
-0.118462,0.028392,0.200262,0.102147,0.506575
-0.070947,-0.005515,0.082339,-0.016059,0.866236
-0.032054,0.020698,-0.065284,-0.095847,0.726828
0.157681,0.063783,0.204655,0.167021,0.387962
0.057738,-0.210378,0.181082,0.028846,0.481517
0.040009,0.08578,0.025897,0.139764,0.629893
-0.203583,0.040052,-0.102973,-0.2361,0.389486
0.053912,0.078204,0.206769,0.107206,0.475898
0.279682,0.070456,-0.03154,0.322595,0.307912
-0.199309,-0.340394,0.5,0.424613,2.4e-05
-0.358361,0.094161,-0.122637,-0.160228,0.136541
-0.098826,-0.068245,-0.168071,-0.253836,0.335163
0.285486,0.20423,-0.00161,0.159211,0.285407
-0.043498,-0.397016,0.467356,0.268382,0.026689
0.046648,0.121907,0.170394,0.055262,0.613185
-0.103212,-0.211773,0.5,0.296917,0.0
0.025319,0.206706,0.187474,0.361852,0.098978
-0.173506,0.214496,-0.178731,-0.139565,0.16668
0.140755,0.252189,-0.078854,0.022943,0.397718
-0.229434,0.05213,-0.131727,-0.438653,0.221932
0.147658,0.07059,0.057591,0.056067,0.641028
0.019874,-0.066249,-0.055306,-0.079419,0.735433
